"","x1","x2","x3","x4","x5","x6","x7","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.raccounting","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rhr","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rIT","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rmanagement","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rmarketing","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rproduct_mng","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rRandD","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rsales","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rsupport","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rtechnical","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rhigh","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rlow","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rmedium","y"
"55",0.92,7,307,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.1
"56",0.46,2,140,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.37
"57",0.94,7,255,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.11
"58",0.81,6,309,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1
"59",0.54,2,128,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.38
"60",1,4,225,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.85
"61",0.91,5,226,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.85
"62",0.93,7,308,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.11
"63",0.95,6,244,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1
"64",0.56,2,132,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.36
"65",0.94,6,286,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.11
"66",0.7,6,161,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.81
"67",0.54,2,153,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.43
"68",0.98,4,264,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9
"69",0.86,5,223,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.76
"70",0.5,2,135,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.43
"71",0.99,2,277,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.74
"72",0.77,5,275,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.09
"73",0.49,2,149,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.45
"74",0.87,7,295,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.09
"75",0.97,6,277,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.11
"76",0.79,7,306,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.11
"77",0.83,6,295,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.1
"78",0.54,2,137,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4
"79",0.56,2,157,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.43
"80",0.56,2,142,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.39
"81",0.54,2,140,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.45
"82",0.49,2,151,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.38
"83",0.59,4,139,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.79
"84",0.85,4,249,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.84
"85",0.77,6,291,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.11
"86",0.87,6,305,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.11
"87",0.84,5,232,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.17
"88",0.45,2,132,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.44
"89",0.57,2,130,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.37
"90",0.79,6,291,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1
"91",0.5,2,130,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4
"92",1,5,246,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.89
"93",0.48,2,143,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.42
"94",0.55,2,129,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.46
"95",0.83,6,255,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.09
"96",0.51,2,155,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.37
"97",0.77,6,265,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1
"98",0.84,6,279,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1
"99",0.97,6,284,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.11
"100",1,5,221,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.9
"101",0.52,2,154,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.38
"102",0.52,2,147,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.36
"103",0.46,2,150,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.42
"104",0.94,7,267,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.09
"105",0.52,2,158,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.43
"106",0.46,7,224,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.24
"107",1,4,257,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.91
"108",0.5,2,148,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.44
"109",0.87,3,177,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.71
"110",0.49,2,155,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4
"111",0.47,2,144,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.43
"112",0.85,6,289,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.09
"113",0.52,2,160,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.43
"114",0.96,4,258,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.9
"115",1,5,234,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.84
"116",0.48,2,137,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.37
"117",0.68,5,263,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.86
"118",0.84,6,251,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.11
"119",0.57,2,133,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.37
"120",0.46,2,132,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.4
"121",0.62,4,158,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.14
"122",0.46,2,135,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.4
"123",1,4,216,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.75
"124",0.84,6,300,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.11
"125",0.49,2,138,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.46
"126",0.92,6,260,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.11
"127",0.49,2,132,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.38
"128",0.89,3,183,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.7
"129",0.82,6,250,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.09
"130",0.45,2,151,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.37
"131",0.83,6,292,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.1
"132",0.57,2,140,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.38
"133",1,5,221,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.9
"134",0.51,2,138,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.44
"135",0.5,2,132,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.36
"136",0.84,7,133,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.31
"137",0.84,6,283,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1
"138",0.48,2,129,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.42
"139",1,4,249,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.74
"140",0.87,5,257,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.73
"141",0.96,6,245,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.09
"142",0.53,2,155,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.45
"143",0.8,6,256,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.11
"144",0.47,2,152,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.37
"145",0.99,4,267,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.84
"146",0.46,2,151,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.41
"147",0.92,4,239,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.76
"148",0.87,6,306,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.11
"149",0.88,4,263,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.84
"150",0.5,2,147,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.39
"151",0.91,6,278,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.11
"152",0.56,2,154,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.45
"153",0.52,2,143,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.37
"154",0.52,2,155,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.4
"155",0.48,2,160,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.39
"156",0.8,6,304,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.11
"157",1,5,240,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.83
"158",0.92,6,305,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.11
"159",0.5,2,136,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.39
"160",0.45,2,132,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.45
"161",0.95,7,301,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.1
"162",0.98,5,243,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.9
"163",0.51,2,147,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.45
"164",0.89,5,239,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.79
"165",0.99,5,260,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.9
"166",0.84,7,296,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.11
"167",0.55,2,129,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.43
"168",0.54,5,132,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.31
"169",0.5,2,135,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.32
"170",0.57,2,158,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.45
"171",0.99,4,259,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.81
"172",0.46,2,160,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.41
"173",0.78,7,278,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.11
"174",0.88,6,284,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1
"175",0.53,2,274,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.7
"176",0.74,4,164,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.54
"177",0.48,2,148,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.41
"178",0.5,2,140,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.38
"179",0.51,2,127,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.37
"180",0.85,6,308,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.11
"181",0.47,2,146,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4
"182",0.84,6,261,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1
"183",0.99,5,257,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.89
"184",0.8,6,285,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.11
"185",0.55,2,141,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.36
"186",0.46,2,127,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4
"187",0.85,6,297,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.09
"188",0.46,2,143,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4
"189",0.55,2,152,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.37
"190",0.51,2,156,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.44
"191",0.8,7,283,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.09
"192",0.87,4,226,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.92
"193",0.91,4,232,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.74
"194",0.82,6,249,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.09
"195",0.95,4,275,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.89
"196",0.8,6,304,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.09
"197",0.54,7,278,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.27
"198",0.91,6,287,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1
"199",0.89,7,285,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1
"200",0.94,5,226,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.77
"201",0.82,5,259,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.9
"202",0.5,2,135,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.39
"203",1,5,219,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.76
"204",0.93,6,256,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.1
"205",0.9,5,254,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.87
"206",0.5,2,153,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.38
"207",0.99,5,228,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.77
"208",0.87,4,228,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.78
"209",0.5,2,128,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.44
"210",0.52,2,153,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.38
"211",0.46,2,156,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.43
"212",0.5,4,294,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.39
"213",1,5,219,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.88
"214",0.46,2,153,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.45
"215",0.53,2,151,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4
"216",0.51,2,155,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.36
"217",0.48,2,158,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.36
"218",0.98,5,245,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9
"219",0.53,2,131,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.43
"220",0.87,5,225,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.89
"221",0.84,6,286,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1
"222",0.5,2,135,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.37
"223",0.51,2,153,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.37
"224",0.9,5,252,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.87
"225",0.56,2,149,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4
"226",0.97,4,258,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.9
"227",0.46,2,158,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37
"228",0.54,2,149,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.44
"229",0.95,5,236,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.85
"230",0.98,5,239,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.78
"231",0.47,2,159,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.42
"232",0.99,5,255,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.92
"233",0.83,6,244,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.11
"234",0.56,2,134,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.42
"235",0.57,4,270,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.48
"236",0.85,4,255,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.83
"237",0.53,2,151,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.4
"238",0.45,2,135,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.43
"239",0.53,2,146,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.43
"240",0.97,7,254,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1
"241",0.87,7,289,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1
"242",0.46,2,156,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.37
"243",0.53,2,156,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.38
"244",0.5,2,128,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4
"245",0.86,5,275,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.89
"246",0.46,2,155,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.45
"247",0.48,2,159,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.37
"248",0.49,2,148,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.46
"249",0.91,4,228,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.87
"250",0.84,6,298,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.11
"251",0.87,5,261,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.79
"252",0.92,5,254,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.79
"253",0.59,7,192,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.19
"254",0.98,4,248,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.87
"255",0.92,2,258,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6
"256",0.45,2,156,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.44
"257",0.81,6,266,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.11
"258",0.54,2,156,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.42
"259",0.88,5,232,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.88
"260",0.84,6,287,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.11
